time	type	subtype	content
77.691	state		no_reward
77.791	state		reward_consumption
78.567	event	input	poke_6_out
79.568	event	timer	consumption_timer
79.568	state		inter_trial_interval
79.922	event	sync	rsync
80.781	event	input	poke_5
80.886	event	input	poke_5_out
81.305	state		initiation_state
83.072	event	sync	rsync
83.381	event	input	poke_5
83.382	state		forced_choice_right
83.493	event	input	poke_5_out
83.754	event	input	poke_6
83.755	state		chose_right
83.756	variable	print	{"n_trials": 9, "n_rewards": 3, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": true, "mov_ave": 0.6117888, "threshold_crossed": false}
84.256	state		reward_right
84.321	state		reward_consumption
87.292	event	sync	rsync
91.182	event	input	poke_6_out
91.898	event	input	poke_6
92.219	event	input	poke_6_out
92.376	event	sync	rsync
93.220	event	timer	consumption_timer
93.220	state		inter_trial_interval
94.092	event	input	poke_5
94.177	event	input	poke_5_out
94.239	event	input	poke_5
94.438	event	input	poke_5_out
94.789	state		initiation_state
94.802	event	input	poke_6
94.892	event	sync	rsync
94.921	event	input	poke_6_out
95.206	event	input	poke_5
95.207	state		choice_state
95.266	event	input	poke_5_out
95.655	event	input	poke_4
95.656	state		chose_left
95.657	variable	print	{"n_trials": 10, "n_rewards": 3, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.6574049, "threshold_crossed": false}
96.158	state		no_reward
96.258	state		reward_consumption
96.565	event	input	poke_4_out
96.634	event	input	poke_4
96.670	event	input	poke_4_out
97.671	event	timer	consumption_timer
97.671	state		inter_trial_interval
99.612	event	input	poke_5
99.621	event	input	poke_5_out
100.010	event	input	poke_4
100.289	state		initiation_state
100.597	event	input	poke_4_out
100.724	event	input	poke_4
100.760	event	input	poke_4_out
101.276	event	input	poke_4
101.972	event	sync	rsync
102.316	event	input	poke_4_out
102.932	event	input	poke_4
103.723	event	input	poke_4_out
104.331	event	input	poke_4
105.137	event	input	poke_4_out
105.799	event	input	poke_4
106.052	event	input	poke_4_out
106.511	event	sync	rsync
107.281	event	input	poke_4
107.969	event	input	poke_4_out
108.285	event	input	poke_5
108.286	state		choice_state
108.338	event	input	poke_5_out
108.583	event	input	poke_4
108.584	state		chose_left
108.585	variable	print	{"n_trials": 11, "n_rewards": 4, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6976609, "threshold_crossed": false}
108.823	event	sync	rsync
109.086	state		reward_left
109.160	state		reward_consumption
113.250	event	sync	rsync
114.127	event	sync	rsync
115.738	event	input	poke_4_out
116.739	event	timer	consumption_timer
116.739	state		inter_trial_interval
119.725	state		initiation_state
119.895	event	sync	rsync
120.215	event	input	poke_5
120.217	state		choice_state
120.249	event	input	poke_5_out
120.523	event	input	poke_4
120.524	state		chose_left
120.525	variable	print	{"n_trials": 12, "n_rewards": 5, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.7331867, "threshold_crossed": false}
121.026	state		reward_left
121.100	state		reward_consumption
127.207	event	input	poke_4_out
127.254	event	input	poke_4
128.827	event	sync	rsync
129.861	event	input	poke_4_out
130.861	event	timer	consumption_timer
130.861	state		inter_trial_interval
132.113	state		initiation_state
132.295	event	input	poke_4
132.364	event	input	poke_4_out
132.419	event	input	poke_4
132.923	event	input	poke_4_out
133.474	event	input	poke_4
134.837	event	input	poke_4_out
135.305	event	input	poke_5
135.306	state		forced_choice_left
135.340	event	input	poke_5_out
135.601	event	input	poke_4
135.602	state		chose_left
135.603	variable	print	{"n_trials": 13, "n_rewards": 6, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.7331867, "threshold_crossed": false}
136.104	state		reward_left
136.178	state		reward_consumption
137.819	event	sync	rsync
142.513	event	input	poke_4_out
142.608	event	input	poke_4
142.642	event	input	poke_4_out
142.674	event	input	poke_4
143.296	event	input	poke_4_out
143.343	event	input	poke_4
143.414	event	input	poke_4_out
143.487	event	input	poke_4
143.696	event	input	poke_4_out
143.785	event	input	poke_4
144.197	event	input	poke_4_out
145.142	event	sync	rsync
145.198	event	timer	consumption_timer
145.198	state		inter_trial_interval
146.413	state		initiation_state
147.368	event	input	poke_4
147.390	event	input	poke_4_out
147.736	event	input	poke_5
147.737	state		choice_state
147.764	event	input	poke_5_out
148.040	event	input	poke_4
148.041	state		chose_left
148.042	variable	print	{"n_trials": 14, "n_rewards": 7, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.764538, "threshold_crossed": true}
148.543	state		reward_left
148.617	state		reward_consumption
148.732	event	sync	rsync
154.373	event	input	poke_4_out
155.374	event	timer	consumption_timer
155.374	state		inter_trial_interval
156.846	event	input	poke_5
156.893	event	input	poke_5_out
157.009	state		initiation_state
157.425	event	input	poke_4
157.621	event	sync	rsync
157.948	event	input	poke_4_out
158.587	event	input	poke_4
159.539	event	input	poke_4_out
160.274	event	input	poke_4
161.357	event	input	poke_4_out
162.037	event	input	poke_4
163.530	event	input	poke_4_out
164.280	event	input	poke_4
165.051	event	input	poke_4_out
165.729	event	input	poke_4
166.393	event	sync	rsync
166.636	event	input	poke_4_out
167.289	event	input	poke_4
167.629	event	sync	rsync
168.129	event	input	poke_4_out
168.189	event	input	poke_4
168.202	event	input	poke_4_out
168.915	event	input	poke_4
169.233	event	input	poke_4_out
170.034	event	input	poke_4
170.474	event	input	poke_4_out
170.866	event	input	poke_5
170.868	state		choice_state
170.920	event	input	poke_5_out
171.458	event	input	poke_6
171.459	state		chose_right
