time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 1
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	01_C3T1_R
0.000	info	start_time	2023-11-17T10:16:22.975
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 8, "intercept": 25.9}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 27.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
5.477	event	sync	rsync
9.505	event	sync	rsync
10.249	event	sync	rsync
10.516	event	input	poke_5
10.518	state		forced_choice_left
10.675	event	input	poke_5_out
11.104	event	input	poke_4
11.105	state		chose_left
11.106	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
11.606	state		reward_left
11.677	state		reward_consumption
15.044	event	sync	rsync
16.014	event	input	poke_4_out
16.040	event	input	poke_4
16.449	event	input	poke_4_out
17.450	event	timer	consumption_timer
17.450	state		inter_trial_interval
18.896	state		initiation_state
19.971	event	sync	rsync
21.840	event	sync	rsync
24.706	event	sync	rsync
29.600	event	input	poke_4
29.686	event	input	poke_4_out
29.754	event	input	poke_4
29.869	event	input	poke_4_out
30.555	event	input	poke_4
31.285	event	input	poke_4_out
31.650	event	input	poke_5
31.651	state		choice_state
31.714	event	input	poke_5_out
31.756	event	sync	rsync
32.010	event	input	poke_4
32.011	state		chose_left
