time	type	subtype	content
89.093	event	input	poke_4_out
90.094	event	timer	consumption_timer
90.094	state		inter_trial_interval
90.151	event	input	poke_4
90.421	event	input	poke_4_out
91.429	event	sync	rsync
92.075	state		initiation_state
93.973	event	input	poke_4
94.303	event	sync	rsync
94.808	event	input	poke_4_out
94.898	event	sync	rsync
95.607	event	input	poke_4
97.297	event	input	poke_4_out
97.679	event	input	poke_5
97.680	state		forced_choice_right
97.726	event	input	poke_5_out
98.024	event	input	poke_4
99.009	event	input	poke_4_out
101.117	event	input	poke_5
101.143	event	sync	rsync
101.185	event	input	poke_5_out
101.260	event	input	poke_5
101.421	event	input	poke_5_out
101.945	event	input	poke_6
101.946	state		chose_right
101.947	variable	print	{"n_trials": 9, "n_rewards": 5, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5972258, "threshold_crossed": false}
102.448	state		no_reward
102.548	state		reward_consumption
102.977	event	input	poke_6_out
103.978	event	timer	consumption_timer
103.978	state		inter_trial_interval
105.082	state		initiation_state
105.517	event	input	poke_5
105.518	state		choice_state
105.632	event	input	poke_5_out
105.976	event	input	poke_6
105.978	state		chose_right
105.979	variable	print	{"n_trials": 10, "n_rewards": 5, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5270499, "threshold_crossed": false}
106.479	state		no_reward
106.579	state		reward_consumption
106.768	event	input	poke_6_out
107.769	event	timer	consumption_timer
107.769	state		inter_trial_interval
109.172	event	sync	rsync
110.066	state		initiation_state
113.956	event	input	poke_5
113.957	state		choice_state
114.008	event	input	poke_5_out
114.311	event	input	poke_4
114.312	state		chose_left
114.313	variable	print	{"n_trials": 11, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.582623, "threshold_crossed": false}
114.814	state		reward_left
114.885	state		reward_consumption
116.694	event	sync	rsync
119.328	event	input	poke_4_out
120.328	event	timer	consumption_timer
120.328	state		inter_trial_interval
121.815	state		initiation_state
122.944	event	sync	rsync
123.314	event	input	poke_5
123.315	state		choice_state
123.386	event	input	poke_5_out
123.811	event	input	poke_6
123.812	state		chose_right
123.813	variable	print	{"n_trials": 12, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.514163, "threshold_crossed": false}
124.314	state		no_reward
124.414	state		reward_consumption
124.682	event	input	poke_6_out
124.885	event	sync	rsync
125.522	event	input	poke_5
125.533	event	input	poke_5_out
125.682	event	timer	consumption_timer
125.682	state		inter_trial_interval
127.460	state		initiation_state
127.859	event	input	poke_5
127.860	state		choice_state
127.907	event	input	poke_5_out
127.981	event	input	poke_5
128.077	event	input	poke_5_out
128.559	event	input	poke_6
128.560	state		chose_right
128.561	variable	print	{"n_trials": 13, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4537473, "threshold_crossed": false}
129.062	state		no_reward
129.162	state		reward_consumption
129.322	event	input	poke_6_out
130.323	event	timer	consumption_timer
130.323	state		inter_trial_interval
130.462	event	input	poke_4
131.504	event	input	poke_4_out
132.622	state		initiation_state
133.280	event	input	poke_4
133.464	event	input	poke_4_out
133.833	event	input	poke_5
133.834	state		forced_choice_right
133.927	event	input	poke_5_out
134.211	event	input	poke_4
134.395	event	sync	rsync
135.446	event	input	poke_4_out
135.929	event	input	poke_5
135.999	event	input	poke_5_out
136.550	event	sync	rsync
141.680	event	sync	rsync
149.454	event	sync	rsync
151.764	event	sync	rsync
155.117	event	sync	rsync
155.772	event	sync	rsync
156.136	event	input	poke_5
156.281	event	input	poke_5_out
156.769	event	input	poke_6
156.770	state		chose_right
156.771	variable	print	{"n_trials": 14, "n_rewards": 6, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4537473, "threshold_crossed": false}
157.271	state		no_reward
157.371	state		reward_consumption
157.681	event	input	poke_6_out
158.682	event	timer	consumption_timer
158.682	state		inter_trial_interval
160.850	event	sync	rsync
161.624	state		initiation_state
