time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	10_C2T3_R
0.000	info	start_time	2023-11-15T11:29:31.045
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
2.052	event	input	poke_5
2.053	state		forced_choice_right
2.128	event	input	poke_5_out
2.400	event	input	poke_6
2.401	state		chose_right
2.402	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
2.519	event	input	poke_6_out
2.654	event	input	poke_6
2.787	event	input	poke_6_out
2.867	event	input	poke_6
2.903	state		reward_right
3.024	state		reward_consumption
5.958	event	input	poke_6_out
6.159	event	input	poke_6
6.790	event	sync	rsync
7.190	event	input	poke_6_out
8.190	event	timer	consumption_timer
8.190	state		inter_trial_interval
8.696	event	input	poke_5
8.766	event	input	poke_5_out
9.461	event	sync	rsync
9.811	state		initiation_state
10.078	event	input	poke_5
10.079	state		choice_state
10.166	event	input	poke_5_out
10.470	event	input	poke_4
10.472	state		chose_left
10.473	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
10.649	event	input	poke_4_out
10.728	event	input	poke_4
