time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 1
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	06_C1T2_R
0.000	info	start_time	2023-11-16T13:25:34.506
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 8, "intercept": 25.9}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 27.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
3.396	event	sync	rsync
6.066	event	input	poke_6
6.873	event	input	poke_6_out
7.202	event	input	poke_5
7.204	state		forced_choice_right
7.301	event	input	poke_5_out
7.533	event	input	poke_6
7.534	state		chose_right
7.535	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
8.036	state		reward_right
8.109	state		reward_consumption
8.859	event	sync	rsync
12.811	event	sync	rsync
14.152	event	input	poke_6_out
15.153	event	timer	consumption_timer
15.153	state		inter_trial_interval
16.325	event	sync	rsync
16.813	event	input	poke_5
16.860	event	input	poke_5_out
16.937	state		initiation_state
17.372	event	input	poke_4
17.446	event	input	poke_4_out
18.505	event	input	poke_5
18.507	state		choice_state
18.561	event	input	poke_5_out
18.895	event	input	poke_6
18.897	state		chose_right
18.898	variable	print	{"n_trials": 2, "n_rewards": 2, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
19.398	state		reward_right
19.471	state		reward_consumption
25.617	event	sync	rsync
