time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	10_C2T3_R
0.000	info	start_time	2023-11-14T11:48:19.909
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.452	event	input	poke_5
0.453	state		choice_state
0.555	event	input	poke_5_out
0.834	event	sync	rsync
0.845	event	input	poke_4
0.846	state		chose_left
0.847	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
0.992	event	input	poke_4_out
1.031	event	input	poke_4
1.348	state		reward_left
1.479	state		reward_consumption
4.007	event	input	poke_4_out
4.018	event	input	poke_4
5.420	event	sync	rsync
5.625	event	input	poke_4_out
5.682	event	input	poke_4
5.729	event	input	poke_4_out
6.729	event	timer	consumption_timer
6.729	state		inter_trial_interval
8.800	event	sync	rsync
9.154	state		initiation_state
14.903	event	sync	rsync
16.185	event	input	poke_5
16.186	state		forced_choice_right
16.273	event	input	poke_5_out
17.422	event	input	poke_6
17.423	state		chose_right
17.423	variable	print	{"n_trials": 2, "n_rewards": 2, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
17.509	event	input	poke_6_out
17.552	event	input	poke_6
